,F1 Macro,F1 Micro,Precision,Recall,True Left,False Left,True Right,False Right
data/elections,0.6818855622337356,0.6907065376722369,0.5667384260781633,0.6056910569105691,1462,582,894,473
data/politics,0.6600445892457647,0.6631644004944376,0.6286874285538768,0.7189695550351288,459,240,614,305
data/white_house,0.6448286237929808,0.6451016635859519,0.6182993976104753,0.6397188049209139,334,205,364,179
data/immigration,0.6712844960508512,0.7005464480874317,0.6734752393380304,0.8721374045801527,184,67,457,207
data/healthcare,0.6408171329223961,0.6655592469545958,0.6225169022571712,0.8711018711018711,182,62,419,240
