,F1 Macro,F1 Micro,Precision,Recall,True Left,False Left,True Right,False Right
data/elections,0.6715691640712678,0.6959835825271181,0.5724659055225478,0.489159891598916,1652,754,722,283
data/politics,0.6822418051327195,0.6823238566131026,0.6556448564647757,0.6311475409836066,565,315,539,199
data/white_house,0.6418637311057189,0.6423290203327172,0.6216292847556482,0.5764499121265377,367,241,328,146
data/immigration,0.677001401556355,0.7049180327868853,0.6771131253721042,0.8721374045801527,188,67,457,203
data/healthcare,0.6538673835491817,0.6677740863787376,0.6283576602910168,0.814968814968815,211,89,392,211
