,F1 Macro,F1 Micro,Precision,Recall,True Left,False Left,True Right,False Right
data/elections,0.5127561689669594,0.6584579302257403,0.6699453551912569,0.4153116531165312,1633,863,613,302
data/politics,0.7283523008411678,0.6606922126081582,0.6306769494430163,0.8618266978922716,333,118,736,431
data/white_house,0.6842105263157895,0.6451016635859519,0.642967542503864,0.7311072056239016,282,153,416,231
data/immigration,0.753391859537111,0.6622950819672131,0.6474622770919067,0.9007633587786259,134,52,472,257
data/healthcare,0.727853152434158,0.6223698781838317,0.5906735751295337,0.9480249480249481,106,25,456,316
