,F1 Macro,F1 Micro,Precision,Recall,Components,True Left,False Left,True Right,False Right
data/elections,0.5108514190317195,0.6564057461155086,0.6652173913043479,0.4146341463414634,611,1627,864,612,308
data/politics,0.7222222222222222,0.65389369592089,0.6265060240963856,0.8524590163934426,314,330,126,728,434
data/white_house,0.6777408637873754,0.6414048059149723,0.6425196850393701,0.7170474516695958,214,286,161,408,227
data/immigration,0.752,0.6612021857923497,0.6473829201101928,0.8969465648854962,179,135,54,470,256
data/healthcare,0.7262569832402235,0.6201550387596899,0.5893782383419689,0.9459459459459459,173,105,26,455,317
