,F1 Macro,F1 Micro,Precision,Recall,Components,True Left,False Left,True Right,False Right
data/elections,0.5115110925073253,0.6578715919085312,0.6692223439211391,0.41395663956639567,600,1633,865,611,302
data/politics,0.723404255319149,0.6545117428924598,0.6263924592973437,0.8559718969555035,311,328,123,731,436
data/white_house,0.6781893004115226,0.6386321626617375,0.6377708978328174,0.7240773286467487,211,279,157,412,234
data/immigration,0.7531847133757962,0.6612021857923497,0.6461748633879781,0.9026717557251909,176,132,51,473,259
data/healthcare,0.7284345047923323,0.6234772978959026,0.5914396887159533,0.9480249480249481,170,107,25,456,315
