,F1 Macro,F1 Micro,Precision,Recall
Logistic Regression,0.6813128016190371,0.6497833533141791,0.6363451398719155,0.7714067726872557
Logistic Regression with PCA,0.6778142976563082,0.6466122945006821,0.6342008517784531,0.7654066250471888
Logistic Regression with TruncatedSVD,0.678944773281225,0.6471389962301961,0.6342000506310463,0.7689405137837574
