,F1 Macro,F1 Micro,Precision,Recall,True Left,False Left,True Right,False Right
data/elections,0.6777973089584199,0.6880680152447962,0.5637958314350352,0.5887533875338753,1478,607,869,457
data/politics,0.6529737806053595,0.6699629171817059,0.6247253049318887,0.8442622950819673,363,133,721,401
data/white_house,0.6441260769464057,0.6441774491682071,0.6188561468259741,0.6239015817223199,342,214,355,171
data/immigration,0.71882682327233,0.7245901639344262,0.7150057344205718,0.7576335877862596,266,127,397,125
data/healthcare,0.6026402640264026,0.64562569213732,0.6052022645159107,0.9147609147609148,143,41,440,279
