,data/elections,data/politics,data/white_house,data/immigration,data/healthcare
f1_macro,0.6768882890682693,0.679504797276385,0.6404729140453695,0.68439111175659,0.6931294326241135
f1_micro,0.7000879507475813,0.6835599505562423,0.6404805914972274,0.7092896174863388,0.6943521594684385
precision,0.5770836218294759,0.6431506930595765,0.6173417095282192,0.6819478336739944,0.6615897933565554
recall,0.4993224932249323,0.7540983606557377,0.6045694200351494,0.8645038167938931,0.7110187110187111
